lon,lat,age (Ma),Cu (Mt),source,label
33.37333333,34.9525,100.0,0.00192,Mosier_2009,positive
32.89194444,35.09527778,100.0,0.1269,Mosier_2009,positive
33.62388889,35.03027778,100.0,0.0027,Mosier_2009,positive
-78.91666667,-0.416666667,65.0,0.0341039999999999,Mosier_2009,positive
179.9583333,-16.16444444,5.0,0.001008,Mosier_2009,positive
3.633333333,48.46666667,400.0,0.0406,Mosier_2009,positive
4.611944444,45.89416667,400.0,0.13746,Mosier_2009,positive
2.943611111,48.28027778,400.0,0.01775,Mosier_2009,positive
4.609166667,45.79583333,390.0,0.06,Mosier_2009,positive
44.50138889,41.425,81.0,0.016,Mosier_2009,positive
44.55333333,41.42,90.0,0.0803,Mosier_2009,positive
44.49166667,41.36166667,86.0,1.32354,Mosier_2009,positive
44.61805556,41.42333333,90.0,0.20224,Mosier_2009,positive
-4.316666667,53.36666667,436.0,,Mosier_2009,positive
-89.71666667,15.55,100.0,0.0273,Mosier_2009,positive
119.9791667,-2.858333333,15.0,,Mosier_2009,positive
119.9791667,-2.834444444,15.0,,Mosier_2009,positive
123.8833333,-9.8,15.0,0.00235,Mosier_2009,positive
119.97,-2.845833333,15.0,,Mosier_2009,positive
-6.15,52.85,455.0,0.2289,Mosier_2009,positive
140.9986111,41.25,15.0,0.0374,Mosier_2009,positive
140.6002778,40.25694444,15.0,0.0266999999999999,Mosier_2009,positive
140.685,40.25916667,15.0,0.071817,Mosier_2009,positive
140.7166667,40.4,15.0,0.210752,Mosier_2009,positive
140.5438889,40.32138889,15.0,0.475904,Mosier_2009,positive
140.56,40.28888889,15.0,1.18698,Mosier_2009,positive
140.8722222,40.18805556,15.0,0.03503,Mosier_2009,positive
141.0416667,42.47333333,15.0,0.0048,Mosier_2009,positive
132.4741667,35.20805556,15.0,0.0197237,Mosier_2009,positive
140.5680556,41.21527778,15.0,0.0009,Mosier_2009,positive
140.9183333,40.73333333,15.0,0.0338,Mosier_2009,positive
140.7605556,40.34861111,15.0,0.176,Mosier_2009,positive
140.7608333,40.33111111,15.0,0.395214,Mosier_2009,positive
140.6647222,42.99222222,15.0,0.0178499999999999,Mosier_2009,positive
140.6841667,43.0025,15.0,0.00847,Mosier_2009,positive
140.6427778,42.99472222,15.0,0.0034,Mosier_2009,positive
139.3275,37.35277778,15.0,0.072,Mosier_2009,positive
140.5652778,40.295,15.0,0.0933,Mosier_2009,positive
140.8916667,43.03333333,15.0,0.004,Mosier_2009,positive
140.8069444,40.47472222,11.7,,Mosier_2009,positive
139.4261111,37.39888889,15.0,0.040992,Mosier_2009,positive
140.8927778,41.19388889,15.0,0.04498,Mosier_2009,positive
138.8333333,35.58333333,15.0,0.002142,Mosier_2009,positive
139.4711111,37.52722222,15.0,0.0333679999999999,Mosier_2009,positive
140.3530556,38.45472222,15.0,0.12194,Mosier_2009,positive
140.3533333,38.4575,15.0,0.0084,Mosier_2009,positive
140.3630556,38.4475,15.0,0.0457599999999999,Mosier_2009,positive
140.3438889,38.47166667,15.0,0.0320649999999999,Mosier_2009,positive
140.3830556,38.44972222,15.0,0.0014399999999999,Mosier_2009,positive
140.9416667,39.30416667,15.0,0.0045099999999999,Mosier_2009,positive
140.7691667,43.04527778,15.0,0.00518,Mosier_2009,positive
139.4333333,37.39277778,15.0,0.086292,Mosier_2009,positive
140.5944444,39.20277778,15.0,0.0462,Mosier_2009,positive
140.4022222,38.15,15.0,0.0096,Mosier_2009,positive
140.1913889,38.15,15.0,0.063175,Mosier_2009,positive
59.10805556,50.48555556,380.0,0.8371999999999999,Mosier_2009,positive
82.99583333,50.67555556,380.0,0.1043799999999999,Mosier_2009,positive
82.81,50.6,375.0,0.7,Mosier_2009,positive
59.03083333,50.61472222,380.0,0.195,Mosier_2009,positive
82.50055556,50.12861111,390.0,0.78,Mosier_2009,positive
83.61777778,50.64388889,385.0,0.0275,Mosier_2009,positive
83.6,50.33333333,370.0,0.0945999999999999,Mosier_2009,positive
83.25,50.31666667,385.0,0.04107,Mosier_2009,positive
84.31388889,49.725,380.0,0.048,Mosier_2009,positive
82.37305556,50.14944444,375.0,0.2094299999999999,Mosier_2009,positive
81.78388889,50.60083333,375.0,0.396,Mosier_2009,positive
82.425,50.36472222,375.0,0.0446,Mosier_2009,positive
58.60777778,49.16166667,380.0,0.32875,Mosier_2009,positive
82.36722222,50.48,380.0,,Mosier_2009,positive
58.78,49.81,380.0,0.5910030000000001,Mosier_2009,positive
84.15,49.43333333,387.0,0.0297699999999999,Mosier_2009,positive
84.29305556,49.88972222,380.0,0.966,Mosier_2009,positive
85.36805556,49.10361111,380.0,,Mosier_2009,positive
81.87583333,50.53277778,375.0,0.504,Mosier_2009,positive
82.24,50.26777778,385.0,0.0882,Mosier_2009,positive
83.5675,50.36416667,395.0,0.08449,Mosier_2009,positive
81.35833333,50.92888889,380.0,1.2528,Mosier_2009,positive
82.37916667,50.58166667,380.0,,Mosier_2009,positive
58.99638889,50.54194444,380.0,0.38,Mosier_2009,positive
84.26333333,49.8775,380.0,0.01632,Mosier_2009,positive
83.54194444,50.35472222,390.0,0.375,Mosier_2009,positive
81.96611111,50.48666667,380.0,,Mosier_2009,positive
81.87416667,50.68444444,380.0,0.0099,Mosier_2009,positive
83.68444444,50.38555556,380.0,0.0573999999999999,Mosier_2009,positive
83.81833333,50.41944444,380.0,0.04641,Mosier_2009,positive
83.66527778,50.52916667,380.0,0.08544,Mosier_2009,positive
81.78388889,50.60083333,380.0,,Mosier_2009,positive
83.36555556,50.27638889,385.0,0.3,Mosier_2009,positive
81.35666667,50.41,370.0,0.11375,Mosier_2009,positive
59.45166667,50.63416667,410.0,0.3668,Mosier_2009,positive
82.97861111,50.67666667,380.0,0.182,Mosier_2009,positive
84.98055556,49.18138889,390.0,,Mosier_2009,positive
83.6775,49.74055556,370.0,,Mosier_2009,positive
84.30083333,49.74277778,385.0,0.5,Mosier_2009,positive
-8.135,31.70972222,350.0,,Mosier_2009,positive
-8.055833333,31.36444444,350.0,0.12,Mosier_2009,positive
-8.188333333,31.88416667,350.0,0.1379999999999999,Mosier_2009,positive
-99.70055556,18.57444444,120.0,0.0024,Mosier_2009,positive
-100.1327778,18.19361111,145.0,,Mosier_2009,positive
-105.0611111,20.38888889,145.0,0.00012,Mosier_2009,positive
-104.7861111,20.30194444,240.0,0.00028,Mosier_2009,positive
-100.4,19.05333333,120.0,0.0,Mosier_2009,positive
-103.0813889,18.59111111,120.0,0.0,Mosier_2009,positive
